Haushaltsjahr;Vergnügungssteuer;Zweitwohnungssteuer;Beherbegrungssteuer;Hundesteuer;Grundsteuer A;Grundsteuer B bis 2024;Grundsteuer B ab 2025 Wohngrundstücke;Grundsteuer B ab 2025 Nichtwohngrundstücke;Gewerbesteuer;Gemeindeanteil an der Einkommensteuer;Gemeindeanteil an der Umsatzsteuer;Gemeindeanteil an der Spielbankabgabe;;
2025;1.670.167,05;315.926,60;1.632.360,06;1.469.008,55;145.533,42;602.051,52;19.387.120,76;16.162.897,97;177.681.865,94;98.036.949,53;24.266.768,44;1.270.626,56;;
2024;1.860.478,20;355.346,11;;1.372.412,19;148.036,48;38.771.300,84;;;144.332.630,15;91.439.086,76;22.952.147,00;1.128.394,26;;
2023;1.682.332,71;438.253,81;;1.306.357,73;159.062,15;32.103.838,26;;;151.566.538,90;89.141.891,26;24.026.901,73;1.109.795,68;;
2022;1.730.242,42;455.311,81;;1.270.097,31;159.480,16;32.164.603,34;;;127.121.882,98;79.644.474,24;23.884.689,17;1.102.628,22;;
2021;769.615,64;369.132,36;;1.251.123,41;159.679,35;31.910.413,47;;;112.549.649,82;78.616.584,07;25.959.391,35;219.989,56;;
2020;1.473.474,70;389.780,59;;1.155.402,87;162.855,47;31.896.995,14;;;91.378.173,19;75.378.595,50;27.780.359,86;580.987,50;;
2019;2.088.080,39;390.695,87;;1.118.821,31;157.870,19;31.909.742,93;;;112.469.692,80;76.395.119,02;24.875.333,73;544.515,36;;
2018;2.102.698,88;308.206,29;;1.085.171,29;161.413,69;31.085.069,79;;;109.936.178,60;72.970.361,23;22.374.533,50;301.618,66;;
2017;2.157.907,07;366.477,01;;1.085.005,65;169.088,73;30.977.287,13;;;103.485.691,24;66.972.654,92;20.190.206,67;120.969,09;;
2016;1.965.549,31;348.475,02;;1.060.149,66;163.498,59;31.127.209,97;;;97.584.799,53;62.734.807,93;15.702.076,95;27.830,99;;
2015;2.082.616,13;296.873,50;;1.046.301,81;159.691,20;30.819.788,83;;;82.005.554,15;61.197.858,52;16.294.989,71;0,00;;
2014;1.765.677,17;256.907,19;;1.055.977,87;175.585,04;30.825.879,36;;;90.637.768,28;55.630.668,12;14.626.801,37;0,00;;
2013;1.727.920,90;320.786,94;;1.029.038,42;161.290,34;30.509.043,36;;;101.949.809,34;51.984.885,48;14.335.184,95;0,00;;
2012;1.166.274,36;323.811,25;;1.016.623,56;172.532,16;29.498.179,03;;;89.467.440,31;46.773.567,64;13.855.741,61;0,00;;
2011;967.010,11;273.484,43;;1.036.303,45;174.950,93;26.899.008,19;;;85.012.696,16;42.322.666,30;14.601.119,80;23.455,93;;
2010;725.044,48;292.874,43;;1.009.728,71;183.183,21;26.570.707,79;;;82.086.180,14;38.452.692,53;13.191.915,33;93.975,88;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
